,Countdown Airport,Countdown Auckland City,Countdown Aviemore Drive,Countdown Birkenhead,Countdown Blockhouse Bay,Countdown Botany Downs,Countdown Browns Bay,Countdown Glenfield,Countdown Greenlane,Countdown Grey Lynn,Countdown Grey Lynn Central,Countdown Hauraki Corner,Countdown Henderson,Countdown Highland Park,Countdown Hobsonville,Countdown Howick,Countdown Kelston,Countdown Lincoln Road,Countdown Lynfield,Countdown Lynmall,Countdown Mairangi Bay,Countdown Mangere East,Countdown Mangere Mall,Countdown Manukau,Countdown Manukau Mall,Countdown Manurewa,Countdown Meadowbank,Countdown Meadowlands,Countdown Milford,Countdown Mt Eden,Countdown Mt Roskill,Countdown Mt Wellington,Countdown Newmarket,Countdown Northcote,Countdown Northwest,Countdown Onehunga,Countdown Pakuranga,Countdown Papakura,Countdown Papatoetoe,Countdown Ponsonby,Countdown Pt Chevalier,Countdown Roselands,Countdown St Johns,Countdown St Lukes,Countdown Sunnynook,Countdown Sylvia Park,Countdown Takanini,Countdown Takapuna,Countdown Te Atatu,Countdown Te Atatu South,Countdown Three Kings,Countdown Victoria Street West,Countdown Westgate,Countdown Metro Albert Street,Countdown Metro Halsey Street,Distribution Centre Auckland,FreshChoice Glen Eden,FreshChoice Half Moon Bay,FreshChoice Mangere Bridge,FreshChoice Otahuhu,FreshChoice Ranui,SuperValue Avondale,SuperValue Flatbush,SuperValue Palomino,SuperValue Papakura,SuperValue Titirangi
Countdown Airport,0,27376.7,22848.24,32893.5,18711.81,17010.24,45058.13,38153.57,17189.17,24015.25,22916.03,34177.29,27673.39,22968.2,34911.61,22182.72,21707.8,27454.02,15428.93,19406.94,41598.46,7563.16,5040.17,9917.05,9714.52,9528.2,19657.23,19996.02,36634.63,17612.19,15015.94,20777.11,27273.93,32788.73,30498.09,10798.95,18893.74,21968.05,9305.02,23875.21,23393.5,19174.11,21100.64,18835.44,37459.64,20233.73,17065.31,33502.91,26252.03,25059.22,13339.05,27028.28,30261.17,26734.21,26527.88,8247.28,24180.02,24538.72,7522.97,11830.65,30136.89,17975.54,11664.92,31348.46,22073.37,23907.27
Countdown Auckland City,27439.56,0,19474.76,8880.88,16477.28,19408.25,21045.52,14140.95,7596.66,4600.53,8902.53,10164.67,16881.36,19594.72,24119.58,23368.37,14490.63,16661.99,15748.1,13098.24,17585.84,25829.2,26733.08,21395.01,22293.54,28209.37,11077.7,22328.62,12622.01,7182.4,14189.92,13091.97,4645.74,8776.11,19706.06,19202.97,15520.26,34113.73,19213.64,3400.9,7873.69,31319.8,9875.62,8387.84,13447.03,12548.59,29210.99,9490.29,15460,14267.19,9157.34,1315.63,19469.14,681.82,1957.17,23019.5,16889.68,21165.24,20841.44,16559.38,19344.86,11457.54,22647.23,20556.42,34219.06,21672.74
Countdown Aviemore Drive,26158.92,19344.59,0,26130.53,30918.25,4125.45,38295.16,31390.6,13275.08,21327.36,21353.53,27414.31,31322.33,320.83,38560.56,3973.46,28931.6,31102.97,30189.07,27539.21,34835.49,21102.16,21852.97,11670.74,12195.37,18533.82,11334.96,4132.61,29871.66,17831.43,28630.9,7577.49,18087.37,26025.75,34147.03,12615.3,4313.98,24443.21,12195.61,19916.27,22314.67,22128.76,8604.32,22828.81,30696.67,8483.41,19540.47,26739.94,29900.97,28708.17,19167.68,18980.7,33910.11,19967.63,23002.68,13931.78,31330.65,2867.77,15459,10856.87,33785.84,25898.52,9807.31,34997.4,24548.54,36113.71
Countdown Birkenhead,33332.25,9420.07,26589.73,0,22369.97,26523.22,17128.73,3659.91,14711.63,8423.66,9637.82,6247.88,22774.05,26709.69,20016.99,30483.34,20383.32,22554.69,21640.79,18990.93,13669.05,31721.9,32625.78,28509.98,29408.52,35324.34,18192.67,29443.59,6885.63,14297.37,20082.62,20206.94,11760.71,2978.5,24176.13,25095.67,22635.23,41228.71,26328.61,9766.79,13766.39,38434.77,24842.13,14280.53,9530.24,19663.56,36325.96,5573.5,21352.69,20159.89,16272.31,8816.38,24516.92,8643.78,7882.21,28912.2,22782.37,28280.21,26734.13,23674.35,25237.56,17350.24,29762.2,26449.12,41334.03,27565.43
Countdown Blockhouse Bay,18693.6,16198.47,30924.72,21715.26,0,31204.03,33879.89,26975.33,19046.62,12837.01,11737.79,22999.05,10006.78,31044.68,23733.38,34818.32,5978.93,16275.79,2162.72,3334.15,30420.22,17083.24,17987.13,24084.17,23252.94,23051.3,22527.66,33778.58,25456.39,8866.27,5454.21,24541.93,16095.69,21610.49,19319.85,10457.02,26970.22,35506.47,22817.45,12696.97,7020.39,32712.53,29177.12,7308.46,26281.4,23998.55,30603.73,22324.67,15073.79,13880.99,9200.89,15850.04,19082.93,15555.97,15349.64,14273.54,6185.8,32615.2,12095.48,17856.91,18958.66,3260.9,25858.71,20170.22,35611.8,5031.85
Countdown Botany Downs,22515.31,19310.22,4167.98,26096.15,30883.88,0,38260.79,31356.22,13240.72,21292.99,21319.16,27379.95,31287.96,4375.45,38526.19,5334.26,28897.23,31068.6,28862.21,27504.84,34801.12,17458.55,18209.36,8027.12,8551.75,14890.2,12043.98,3147.55,29837.29,17797.06,28596.53,7543.12,18053,25991.38,34112.66,12580.93,4533.18,23198.26,8289.21,19881.9,22280.3,20404.32,9313.33,22794.44,30662.3,8449.04,18295.52,26705.57,29866.6,28673.8,19133.31,18946.33,33875.74,19933.27,22968.31,13582.16,31296.28,6867.4,20956.25,10210.6,33751.47,25864.15,6163.7,34963.03,23303.58,36079.35
Countdown Browns Bay,44676,20763.82,37933.48,17025.3,33713.72,37866.96,0,11630.64,26055.38,19767.41,20981.57,14344.05,29003.88,38053.44,15779.99,41827.08,33395.93,24480.1,32984.54,33454.73,4288.73,43065.64,43969.52,39853.73,40752.27,46668.09,29536.42,40787.34,8858.42,25641.12,31426.36,31550.69,23104.46,12978.6,19939.13,36439.42,33978.98,52572.45,37672.36,21110.54,25110.13,49778.52,36185.88,25624.28,7466.81,31007.31,47669.71,13669.67,26993.71,26389.72,27616.05,20160.13,20279.91,19987.53,19225.96,40255.95,32278.65,39623.96,38077.88,35018.1,27162.97,28693.99,41105.95,28374.53,52677.78,38909.18
Countdown Glenfield,38182.14,14269.95,31439.61,3640.82,27219.85,31373.1,11822.97,0,19561.51,13273.54,14487.7,7850.18,24262.73,31559.57,11038.84,35333.21,25233.2,19738.95,26490.67,23840.81,7652.13,36571.78,37475.66,33359.86,34258.39,40174.22,23042.55,34293.47,5644.15,19147.25,24932.49,25056.82,16610.59,4259.07,15197.98,29945.55,27485.11,46078.59,31178.49,14616.67,18616.27,43284.65,29692.01,19130.41,3879.6,24513.44,41175.84,7175.8,22252.56,21648.57,21122.19,13666.26,15538.76,13493.66,12732.09,33762.07,27537.5,33130.09,31584.01,28524.23,22421.82,22200.12,34612.08,23633.38,46183.91,32415.31
Countdown Greenlane,14379.44,7195.97,13287.47,13981.91,18769.63,13220.96,26146.54,19241.97,0,9178.74,9204.91,15265.7,19173.71,13407.43,26411.94,17181.08,16782.98,18954.35,18040.46,15390.59,22686.87,13514.2,25341.24,15207.72,16106.26,22022.08,4874.7,16141.33,17723.04,4862.02,8495.03,6904.68,2873.75,13877.13,21998.41,4834.94,9332.97,27926.45,13026.35,7767.65,10166.05,25132.51,6994.81,10680.19,18548.05,6361.3,23023.7,14591.32,17752.35,16559.55,6198.26,6832.08,21761.49,7819.02,10854.06,13743.64,19182.03,14977.95,7781.31,10372.09,21637.22,13749.9,16459.94,22848.78,28031.77,23965.1
Countdown Grey Lynn,23836.28,8113.88,21362,7810.22,12874,21295.49,19974.86,13070.29,9483.91,0,2092.02,9094.01,13278.08,21481.96,22863.13,25255.61,10887.35,13058.71,12144.82,9494.96,16515.18,22225.92,23129.8,23282.25,24180.79,28193.98,12964.94,24215.86,11551.35,5401.04,8290.89,14979.21,6532.98,7705.45,16102.78,15599.7,17407.5,36000.98,21100.89,2061.86,4551.2,33207.04,19614.41,5796.4,12376.37,14435.84,31098.24,8419.63,11856.72,10663.91,14343.57,4433.77,15865.86,4334.99,3605.52,19416.22,13286.4,23052.49,17238.16,18446.62,15741.58,7854.27,24534.47,16953.14,36106.3,18069.46
